ENST00000620481_e_0_21_5032114 ENSG00000277117
ENST00000620481_e_1_21_5022572 ENSG00000277117
ENST00000620481_e_2_21_5032145 ENSG00000277117
ENST00000620481_e_3_21_5032110 ENSG00000277117
ENST00000620481_e_4_21_5028021 ENSG00000277117
ENST00000620481_e_5_21_5027977 ENSG00000277117
ENST00000620481_e_6_21_5028153 ENSG00000277117
ENST00000620481_e_7_21_5022692 ENSG00000277117
ENST00000620481_e_8_21_5032150 ENSG00000277117
ENST00000620481_e_9_21_5027953 ENSG00000277117
ENST00000620481_e_10_21_5028159 ENSG00000277117
ENST00000620481_e_11_21_5022675 ENSG00000277117
ENST00000620481_e_12_21_5022575 ENSG00000277117
ENST00000620481_e_13_21_5025047 ENSG00000277117
ENST00000620481_e_14_21_5022628 ENSG00000277117
ENST00000620481_e_15_21_5032127 ENSG00000277117
ENST00000620481_e_16_21_5028041 ENSG00000277117
ENST00000620481_e_17_21_5022536 ENSG00000277117
ENST00000620481_e_18_21_5022575 ENSG00000277117
ENST00000620481_e_19_21_5022504 ENSG00000277117
ENST00000620481_e_20_21_5028000 ENSG00000277117
ENST00000620481_e_21_21_5022552 ENSG00000277117
ENST00000620481_e_22_21_5032130 ENSG00000277117
ENST00000620481_e_23_21_5022673 ENSG00000277117
ENST00000620481_e_24_21_5022689 ENSG00000277117
ENST00000620481_e_25_21_5032125 ENSG00000277117
ENST00000620481_e_26_21_5027943 ENSG00000277117
ENST00000620481_e_27_21_5032098 ENSG00000277117
ENST00000620481_e_28_21_5028164 ENSG00000277117
ENST00000620481_e_29_21_5022562 ENSG00000277117
ENST00000620481_e_30_21_5025025 ENSG00000277117
ENST00000620481_e_31_21_5022542 ENSG00000277117
ENST00000620481_e_32_21_5027986 ENSG00000277117
ENST00000620481_e_33_21_5032081 ENSG00000277117
ENST00000620481_e_34_21_5032119 ENSG00000277117
ENST00000620481_e_35_21_5032055 ENSG00000277117
ENST00000620481_e_36_21_5032091 ENSG00000277117
ENST00000620481_e_37_21_5022535 ENSG00000277117
ENST00000620481_e_38_21_5028028 ENSG00000277117
ENST00000620481_e_39_21_5022597 ENSG00000277117
